Carrier Code,Status,Name,Scac,Carrier Type,Type Description,Type Group
ALEX,X,ALINA EXPRESS INC,ALEX,CON,CONTRACT FLEET,Trucklo
ALGR,X,GEO. F. ALGER COMPANY,ALGR,CON,CONTRACT FLEET,Trucklo
ALHF,X,ALOHA FREIGHT FORWARDERS- INC.,ALHF,TAB,TABLOID INSERTS,
ALHFLTL,A,ALOHA FREIGHT FORWADER,ALHF,LTL,LESS THAN TRUCK LOAD,
ALHI,A,AGEE TRANSPORT LLC,A910,CON,CONTRACT FLEET,Trucklo
ALHQ,A,A. S. LOGISTICS CORP.,ALHQ,CON,CONTRACT FLEET,Trucklo
ALJY,A,ART LOGISTICS INC,ALJY,BRO,BROKER,Trucklo
ALKG,A,ALLSTATE TRUCKING LLC,4400,CON,CONTRACT FLEET,Trucklo
ALKI,X,ASLAN TRUCKING INC,ALKI,CON,CONTRACT FLEET,Trucklo
ALLC,A,ALL TRUCK TRANSPORTATION CO. I,ALLC,CON,CONTRACT FLEET,Trucklo
ALLH,A,ALLTHEWAY TRUCKING INC.,7550,CON,CONTRACT FLEET,Trucklo
ALLM,X,ALTL- INC.,ALLM,CON,CONTRACT FLEET,Trucklo
ALMA,X,FOFANA TRANSPORT,ALMA,CON,CONTRACT FLEET,Trucklo
ALMD,X,A and R LOGISTICS INC,ALMD,CON,CONTRACT FLEET,Trucklo
ALNV,X,ATL INTERMODAL,ALNV,CON,CONTRACT FLEET,Trucklo
ALOH,X,AL LOGISTICS,ALOH,CON,CONTRACT FLEET,Trucklo
ALOS,A,AIRPORT LOGISTICS SERVICES GRO,ALOS,CON,CONTRACT FLEET,Trucklo
ALPL,A,ALPINE LOGISTICS- LLC,ALPL,CON,CONTRACT FLEET,Trucklo
ALPN,A,ALPHA TRANSPORT INC,9738,CON,CONTRACT FLEET,Trucklo
ALQP,A,ALLIANCE TRANSPORT- INC.,ALQP,CON,CONTRACT FLEET,Trucklo
ALSA,X,ALL-STAR TRANSPORTATION- INC.,ALSA,CON,CONTRACT FLEET,Trucklo
ALTA,X,ART,ALTA,CON,CONTRACT FLEET,Trucklo
ALTI,A,ALT SERVICES INC.,ALTI,CON,CONTRACT FLEET,Trucklo
ALTX,A,ALTEX TRANSPORTATION- INC,ALTX,CON,CONTRACT FLEET,Trucklo
ALUJ,A,ALLIED LOGISTICS- INC.,ALUJ,BRO,BROKER,Trucklo
ALUS,A,ADLUNES,ALUS,CON,CONTRACT FLEET,Trucklo
ALVN,X,ANGELOVE INC,ALVN,CON,CONTRACT FLEET,Trucklo
ALXJ,X,ADVANCED LOGISTIX CORP,ALXJ,CON,CONTRACT FLEET,Trucklo
ALXW,A,ALEXENA INC,ALXW,CON,CONTRACT FLEET,Trucklo
ALYJ,X,ALLIANCE TRUCKING SERVICES- IN,ALYJ,CON,CONTRACT FLEET,Trucklo
AMBO,A,AMB TRANSPORTATION LLC,AMBO,CON,CONTRACT FLEET,Trucklo
AMCM,A,AMC EXPRESS INC,AMCM,CON,CONTRACT FLEET,Trucklo
AMCV,X,AM-CAN TRANSPORT SERVICE- LLC,AMCV,CON,CONTRACT FLEET,Trucklo
AMDB,A,AMD TRANSPORT LLC,AMDB,CON,CONTRACT FLEET,Trucklo
AMDQ,A,AMERITRANS,7381,CON,CONTRACT FLEET,Trucklo
AMDT,X,AMD TRANS INC,AMDT,CON,CONTRACT FLEET,Trucklo
AMEJ,A,ABRAM EXPEDITED LLC,AMEJ,CON,CONTRACT FLEET,Trucklo
AMEK,X,AM LEASING LLC,AMEK,CON,CONTRACT FLEET,Trucklo
AMFA,X,A and M CARRIERS LLC,AMFA,CON,CONTRACT FLEET,Trucklo
AMFK,A,AMIL FREIGHT INC,AMFK,CON,CONTRACT FLEET,Trucklo
AMGC,X,AMERICAN TRANSPORT SERVICES- L,AMGC,CON,CONTRACT FLEET,Trucklo
AMHI,A,AMERICAN HIGHWAY- INC.,AMHI,CON,CONTRACT FLEET,Trucklo
